hexid	date	distToFront	geometry
5237	2021-07-03	0	c(675769.328830267, 659283.528447763, 3777256.61801983, 3765380.21908089)
5237	2021-07-03	0	c(658498.881164722, 675335.827606712, 3811700.49792156, 3800417.61456154)
5237	2021-07-03	0	c(675335.827606712, 675769.328830267, 3800417.61456154, 3777256.61801983)
5446	2021-07-03	400436.36115551036	c(770959.701453662, 770388.752819671, 3327553.04573683, 3350708.27520993)
5446	2021-07-03	422627.1683163733	c(788708.12734799, 770959.701453662, 3316417.35511172, 3327553.04573683)
5446	2021-07-03	394982.0121192549	c(770388.752819671, 787492.514607197, 3350708.27520993, 3362731.50441351)
5446	2021-07-03	433611.78204809106	c(805853.060927481, 788708.12734799, 3328466.02766969, 3316417.35511172)
5446	2021-07-03	394982.0121192549	c(787492.514607197, 805208.373511932, 3362731.50441351, 3351625.06184198)
5446	2021-07-03	411983.4647155877	c(805208.373511932, 805853.060927481, 3351625.06184198, 3328466.02766969)
6633	2021-07-03	943180.6889759718	c(1541096.81056669, 1538866.37016425, 3373578.85955219, 3396923.46235534)
6633	2021-07-03	954854.6398953921	c(1559817.76113213, 1541096.81056669, 3363592.28215888, 3373578.85955219)
6633	2021-07-03	943180.6889759718	c(1538866.37016425, 1555278.76970094, 3396923.46235534, 3410295.20268448)
6633	2021-07-03	976042.9362577571	c(1576284.9955898, 1559817.76113213, 3376988.04351453, 3363592.28215888)
6633	2021-07-03	952993.9857761791	c(1555278.76970094, 1573976.35507401, 3410295.20268448, 3400346.47547825)
6633	2021-07-03	974082.7057002628	c(1573976.35507401, 1576284.9955898, 3400346.47547825, 3376988.04351453)
2294	2021-07-04	0	c(-771170.147271822, -767040.15848515, 4651471.63713053, 4674752.64235323)
2294	2021-07-04	0	c(-757930.218162137, -771170.147271822, 4637143.55870969, 4651471.63713053)
2294	2021-07-04	0	c(-740625.972657123, -757930.218162137, 4646132.319182, 4637143.55870969)
2377	2021-07-04	0	c(-731286.893734227, -727336.883691083, 4608592.56907003, 4631874.55613043)
2377	2021-07-04	0	c(-717884.034920088, -731286.893734227, 4594369.70435117, 4608592.56907003)
2294	2021-07-04	0	c(-736600.23521038, -740625.972657123, 4669409.29321449, 4646132.319182)
2377	2021-07-04	0	c(-727336.883691083, -710087.247304221, 4631874.55613043, 4640929.27987766)
2377	2021-07-04	0	c(-700596.04932493, -717884.034920088, 4603463.95232217, 4594369.70435117)
2377	2021-07-04	0	c(-710087.247304221, -696749.161803621, 4640929.27987766, 4626741.55516149)
2377	2021-07-04	0	c(-696749.161803621, -700596.04932493, 4626741.55516149, 4603463.95232217)
4689	2021-07-04	0	c(348242.952317436, 348663.008580203, 4124416.28007524, 4147587.3691214)
4689	2021-07-04	0	c(364095.897031038, 348242.952317436, 4112556.54624688, 4124416.28007524)
4689	2021-07-04	0	c(348663.008580203, 364847.155067975, 4147587.3691214, 4158897.62412568)
4689	2021-07-04	0	c(380322.751309922, 364095.897031038, 4123897.45770394, 4112556.54624688)
