hexid,population,infections,geometry,date,infectionsPC
11,441.69994703414034,0.07630366676657659,"list(c(-2320474.29014944, -2338294.01652373, -2338294.01652373, -2320474.29014944, -2302654.56377516, -2302654.56377516, -2320474.29014944, 1977418.7125293, 1987706.93634838, 2008283.38398653, 2018571.6078056, 2008283.38398653, 1987706.93634838, 1977418.7125293))",2020-09-17,1.727500020747769e-4
12,1919.8572544864944,0.45010189749168167,"list(c(-2320474.29014944, -2338294.01652373, -2338294.01652372, -2320474.29014945, -2302654.56377516, -2302654.56377516, -2320474.29014944, 2039148.05544376, 2049436.27926284, 2070012.726901, 2080300.95072007, 2070012.726901, 2049436.27926284, 2039148.05544376))",2020-09-17,2.3444550184126625e-4
13,3111.0876663402632,0.6712286014655932,"list(c(-2320474.29014944, -2338294.01652373, -2338294.01652373, -2320474.29014944, -2302654.56377516, -2302654.56377516, -2320474.29014944, 2100877.39835823, 2111165.62217731, 2131742.06981546, 2142030.29363454, 2131742.06981546, 2111165.62217731, 2100877.39835823))",2020-09-17,2.1575367635178047e-4
14,4072.4271951771,0.8786411390344291,"list(c(-2320474.29014944, -2338294.01652373, -2338294.01652373, -2320474.29014944, -2302654.56377516, -2302654.56377516, -2320474.29014944, 2162606.7412727, 2172894.96509177, 2193471.41272993, 2203759.636549, 2193471.41272993, 2172894.96509177, 2162606.7412727))",2020-09-17,2.1575367635178044e-4
15,6508.776077910248,2.8085847347193176,"list(c(-2320474.29014944, -2338294.01652373, -2338294.01652373, -2320474.29014944, -2302654.56377516, -2302654.56377516, -2320474.29014944, 2224336.08418716, 2234624.30800624, 2255200.75564439, 2265488.97946347, 2255200.75564439, 2234624.30800623, 2224336.08418716))",2020-09-17,4.3150735270356094e-4
16,72933.2967069947,6.3978830200190435,"list(c(-2320474.29014944, -2338294.01652373, -2338294.01652372, -2320474.29014944, -2302654.56377516, -2302654.56377516, -2320474.29014944, 2286065.42710162, 2296353.6509207, 2316930.09855886, 2327218.32237793, 2316930.09855886, 2296353.6509207, 2286065.42710162))",2020-09-17,8.772238893467503e-5
17,520.3209038725457,0.04564379270034912,"list(c(-2320474.29014944, -2338294.01652373, -2338294.01652373, -2320474.29014944, -2302654.56377516, -2302654.56377516, -2320474.29014944, 2347794.77001609, 2358082.99383516, 2378659.44147332, 2388947.6652924, 2378659.44147332, 2358082.99383517, 2347794.77001609))",2020-09-17,8.772238893467505e-5
18,1281.309961753855,0.09889514111235012,"list(c(-2302654.56377516, -2320474.29014944, -2320474.29014944, -2302654.56377516, -2284834.83740088, -2284834.83740088, -2302654.56377516, 1884824.6981576, 1895112.92197668, 1915689.36961484, 1925977.59343391, 1915689.36961483, 1895112.92197668, 1884824.6981576))",2020-09-17,7.718283948794295e-5
19,2667.041842363829,0.4607314838018682,"list(c(-2302654.56377516, -2320474.29014944, -2320474.29014944, -2302654.56377516, -2284834.83740088, -2284834.83740088, -2302654.56377516, 1946554.04107207, 1956842.26489114, 1977418.7125293, 1987706.93634838, 1977418.7125293, 1956842.26489114, 1946554.04107207))",2020-09-17,1.7275000207477687e-4
20,48334.07781455898,22.663414258538182,"list(c(-2302654.56377516, -2320474.29014944, -2320474.29014944, -2302654.56377516, -2284834.83740088, -2284834.83740088, -2302654.56377516, 2008283.38398653, 2018571.6078056, 2039148.05544376, 2049436.27926284, 2039148.05544376, 2018571.6078056, 2008283.38398653))",2020-09-17,4.688910036825325e-4
