GEOID,population
15000US010359605002,1073
15000US010359606001,982
15000US010359606002,792
15000US010359606003,2078
15000US010379610001,699
15000US010379610002,550
15000US010379610003,1218
15000US010379610004,1238
15000US010379611001,1449
15000US010379611002,956
15000US010379611003,1294
15000US010379612001,1020
15000US010379612002,1128
15000US010379612003,556
15000US010379612004,747
15000US010399616001,1597
15000US010399616002,871
15000US010399616003,820
15000US010399616004,1030
15000US010399617001,1516
15000US010399617002,676
15000US010399617003,1868
15000US010399618001,1666
15000US010399618002,1341
15000US010399619001,706
15000US010399619002,1379
15000US010399620001,1309
15000US010399620002,1013
15000US010399620003,1226
15000US010399620004,436
15000US010399621001,665
15000US010399621002,1390
15000US010399623001,765
15000US010399623002,1807
15000US010399623003,742
15000US010399624001,1002
15000US010399624002,466
15000US010399624003,766
15000US010399624004,844
15000US010399625001,630
15000US010399625002,751
15000US010399626001,832
15000US010399626002,702
15000US010399627001,1098
15000US010399627002,663
15000US010399628001,822
15000US010399628002,1053
15000US010399629001,655
15000US010399629002,1208
15000US010399630001,1064
15000US010399630002,504
15000US010399630003,760
15000US010399630004,708
15000US010419634001,1034
15000US010419634002,905
15000US010419635001,2041
15000US010419636001,1270
15000US010419636002,1273
15000US010419636003,431
15000US010419637001,1974
15000US010419637002,1926
15000US010419638001,1588
15000US010419639001,1423
15000US010439641001,2353
15000US010439641002,857
15000US010439641003,1218
15000US010439641004,1016
15000US010439641005,743
15000US010439642001,987
15000US010439642002,1690
15000US010439642003,1375
15000US010439642004,855
15000US010439642005,1103
15000US010439642006,961
15000US010439643001,857
15000US010439643002,1807
15000US010439643003,1015
15000US010439643004,1379
15000US010439644001,2103
15000US010439644002,2370
15000US010439645001,1659
15000US010439645002,781
15000US010439645003,2015
15000US010439646001,1621
15000US010439646002,938
15000US010439646003,1188
15000US010439647001,1522
15000US010439647002,1573
15000US010439647003,2502
15000US010439648001,925
15000US010439648002,766
15000US010439648003,1670
15000US010439648004,908
15000US010439649001,1955
15000US010439649002,1411
15000US010439649003,473
15000US010439649004,1196
15000US010439649005,823
15000US010439649006,661
15000US010439650001,1246
15000US010439650002,954
15000US010439650003,949
15000US010439650004,619
15000US010439650005,1332
