hexid	cum_infections	population	geometry	cum_infectionsPC	logpopulation	cum_incidence	log_incidence
4613	2682.390071819776	10325.428603	list(c(310855.24458303, 294612.078315023, 295137.918367945, 311822.414048338, 328020.815551985, 327579.469968905, 310855.24458303, 3876428.1022561, 3888368.63359156, 3911534.72639772, 3922758.42598954, 3910846.50350816, 3887682.19535957, 3876428.1022561))	0.2597848646244497	4.013908088033474	0.5568907741073227	0.19225814508808883
4614	18422.038382703762	44046.548721	list(c(312309.759285897, 296197.771922721, 296731.771740853, 313291.939336205, 329358.56529512, 328910.368948569, 312309.759285897, 3945924.63377402, 3957868.94750521, 3981037.07928924, 3992259.15012668, 3980343.72201208, 3957177.26500047, 3945924.63377402))	0.4182402235279042	4.643911884821939	0.6848371528891609	0.22655793071513264
4615	7936.5794055590895	17858.171215000002	list(c(313786.76147377, 297807.882974056, 298349.980485498, 314783.83803316, 330716.763478638, 330261.768386041, 313786.76147377, 4015427.46216349, 4027375.39375555, 4050545.57970485, 4061766.2023518, 4049847.41932131, 4026678.79745222, 4015427.46216349))	0.44442285327025793	4.25183698244168	0.7031369369686226	0.2312495678562952
4616	2487.8595137102475	5566.5531376	list(c(315286.079577983, 299442.224265286, 299992.356411335, 316297.936754202, 332095.252390454, 331633.51139863, 315286.079577983, 4084936.6337493, 4096888.01693216, 4120060.27125987, 4131279.62698607, 4119357.641367, 4096186.83967297, 4084936.6337493))	0.4469299856145592	3.7455863591434952	0.7048568781509447	0.2316879260626886
4617	2516.266514503054	2805.4299834999997	list(c(316807.539307922, 301100.605637878, 301658.708378676, 317834.059402663, 333493.871839562, 333025.438620082, 316807.539307922, 4154452.19184704, 4166406.85869442, 4189581.19463206, 4200799.46532651, 4188874.4309838, 4165701.43553206, 4154452.19184704))	0.8969272194645218	3.4479994342731097	0.9538557770583745	0.2908925033237216
4618	5012.838771756709	11228.379281999998	list(c(318350.963666504, 302782.833995587, 303348.842315908, 319392.02718594, 334912.459170203, 334437.388214626, 318350.963666504, 4223974.17674084, 4235931.95775, 4259108.38754071, 4270325.75562462, 4258397.82788781, 4235222.62578747, 4223974.17674084))	0.44644366260344415	4.05031707418841	0.7045236786798372	0.23160303868228405
4619	19745.476339990426	79287.34575	list(c(319916.172966048, 304488.713321953, 305062.561237124, 320971.658631619, 336350.849276389, 335869.19589138, 319916.172966048, 4293502.62566258, 4305463.34983485, 4328641.88472696, 4339858.53306653, 4327927.868656, 4304750.44806474, 4293502.62566258))	0.24903691948838416	4.8992038795057695	0.5467649565733065	0.18942432415921182
462	65168.42626062555	79785.50992	list(c(-1551153.31054948, -1560279.31863578, -1551567.23919639, -1533858.03237917, -1524808.48317072, -1533391.85034684, -1551153.31054948, 5601710.84460694, 5618234.23220785, 5641052.33672718, 5647361.98350216, 5630897.59295248, 5608064.68280876, 5601710.84460694))	0.8167952592641091	4.901924025019985	0.9158645544256205	0.28236480257926266
4620	4338.7592106149405	18422.436426	list(c(321502.984844519, 306218.044698216, 306799.665260183, 322572.769603988, 337808.874616775, 337320.694919112, 321502.984844519, 4363037.57277239, 4375001.06769451, 4398181.71793562, 4409397.82975453, 4397464.58670702, 4374284.93683733, 4363037.57277239))	0.23551495091558855	4.2653470664902535	0.5336679137370653	0.18573133168286848
4621	1521.0392842874344	3843.3301976999996	list(c(323111.214282174, 307970.62632165, 308559.951625188, 324195.173320939, 339286.365229902, 338791.71614135, 323111.214282174, 4432579.04914077, 4444545.14106678, 4467727.91589832, 4478943.67469002, 4467008.01228359, 4443826.12340847, 4432579.04914077))	0.39576076112265457	3.584707698250108	0.6686013623296095	0.22235259382768477
4622	2195.6850268758403	9480.767043	list(c(324740.673618599, 309746.253524327, 310343.214713388, 325838.680371269, 340783.148749799, 340282.087991872, 324740.673618599, 4502127.08273196, 4514095.59666585, 4537280.50431811, 4548496.09375798, 4536558.17243628, 4513374.0358945, 4502127.08273196))	0.23159360597273568	3.9768434754252238	0.5297906051424813	0.1846319894746857
4623	9273.954364079484	11376.043404	list(c(326391.172570142, 311544.718792314, 312149.24606652, 327503.098732385, 342299.050421948, 341791.636510545, 326391.172570142, 4571681.69838892, 4583652.45816784, 4606839.50585542, 4618055.10971281, 4606115.09100883, 4582928.69920965, 4571681.69838892))	0.8152179131822416	4.055991240390063	0.9150960139513603	0.2821905523432653
4624	4610.637778522624	6118.2065541	list(c(328062.518247747, 313365.811785296, 313977.834406579, 329188.233788404, 343833.893119627, 343320.185359543, 328062.518247747, 4641242.91781964, 4653215.74619773, 4676404.94011554, 4687620.74216573, 4675678.788625, 4652490.13505235, 4641242.91781964))	0.7535930239937539	3.7866241349225365	0.8843846996062161	0.2751695692959944
4625	4818.869258452304	16227.034282	list(c(329754.515175196, 315209.319356642, 315828.765656031, 330893.888348667, 345387.497360622, 344867.555839936, 329754.515175196, 4710810.75958506, 4722785.47831773, 4745976.82363745, 4757193.00757357, 4745249.28267684, 4722058.3618931, 4710810.75958506))	0.2969654944155558	4.210239153673756	0.5901998857044615	0.2014517179068254
4626	7434.560408960913	15732.66791	list(c(331466.965307754, 317075.025573908, 317701.82295846, 332619.862666658, 346959.681324312, 346433.56690865, 331466.965307754, 4780385.23908834, 4792361.66901716, 4815555.16988413, 4826771.91922916, 4814826.58731462, 4791633.3949638, 4780385.23908834))	0.4725556054123126	4.196802375537738	0.7221321808289703	0.23606648231016014
4627	3333.1048333672115	8847.006675	list(c(333199.66805123, 318962.711739785, 319596.786699666, 334365.954459337, 348550.260869141, 348018.03519581, 333199.66805123, 4849966.36856571, 4861944.32970368, 4885139.98923434, 4896357.48725308, 4884410.71343818, 4861215.24624862, 4849966.36856571))	0.3767494425867166	3.9467963549435043	0.6544583175747095	0.2186558300178842
4628	1444.3213898074484	9924.187603999999	list(c(334952.420281443, 320872.15641349, 321513.434529208, 336131.958926888, 350159.049550462, 349620.775022459, 334952.420281443, 4919554.15707883, 4931533.46869604, 4954731.28897584, 4965949.71858705, 4954001.66868987, 4930803.92447644, 4919554.15707883))	0.1455354783121297	3.9966949654562662	0.43299412359850925	0.156244409452492
4629	53713.08245987648	33608.781027	list(c(336725.016364112, 322803.13543261, 323451.541382393, 337917.668772884, 351785.858638771, 351241.598418662, 336725.016364112, 4989148.61050855, 5001129.0912183, 5024329.0733001, 5035548.61698873, 5023599.45744905, 5000399.43511479, 4989148.61050855))	1.5981859745738909	4.526452761120242	1.225841215739807	0.3474941799503445
463	1351.5661667595898	2483.7447189000004	list(c(-1525177.63382471, -1534077.44822236, -1525300.02812839, -1507752.03975338, -1498928.1566938, -1507576.49327052, -1525177.63382471, 5670160.0347077, 5686632.76760088, 5709395.18451882, 5715701.32185532, 5699287.8980673, 5676509.15735604, 5670160.0347077))	0.5441646866825229	3.395106956693603	0.7677664873613638	0.24742489645296065
4630	13469.206143257174	10644.915731000001	list(c(338517.248175161, 324755.42193539, 325410.879502719, 339722.874224872, 353430.497138328, 352880.315141998, 338517.248175161, 5058749.73155028, 5070731.1993955, 5093933.34329845, 5105154.1830281, 5093204.08082811, 5070001.7803654, 5058749.73155028))	1.2653182499164655	4.027142227755877	1.1076047180304696	0.3237891621024516
