hexid	date	distToFront	geometry
2529	2020-09-25	0	c(-491946.382354851, -507474.481802786, 5391775.46926915, 5382584.00189861)
2586	2020-09-25	0	c(-480468.664202421, -491946.382354851, 5377859.50520832, 5391775.46926915)
2614	2020-09-25	0	c(-484454.07549737, -480468.664202421, 5354714.12109115, 5377859.50520832)
2614	2020-09-25	0	c(-472852.474164223, -484454.07549737, 5340824.52565097, 5354714.12109115)
2614	2020-09-25	0	c(-457330.271418014, -472852.474164223, 5350118.00652849, 5340824.52565097)
2673	2020-09-25	0	c(-445670.066308972, -457330.271418014, 5336292.69722991, 5350118.00652849)
2702	2020-09-25	0	c(-449467.654636716, -445670.066308972, 5313136.580768, 5336292.69722991)
2702	2020-09-25	0	c(-437684.906196017, -449467.654636716, 5299338.44461017, 5313136.580768)
2702	2020-09-25	0	c(-422168.807437425, -437684.906196017, 5308733.49923395, 5299338.44461017)
2762	2020-09-25	18138.808452326433	c(-410328.219043704, -422168.807437425, 5294999.81769585, 5308733.49923395)
2792	2020-09-25	18197.13881137207	c(-413939.900851264, -410328.219043704, 5271834.35540436, 5294999.81769585)
2792	2020-09-25	18197.13881137207	c(-401978.109175953, -413939.900851264, 5258128.59757296, 5271834.35540436)
2823	2020-09-25	0	c(-405516.574420973, -401978.109175953, 5234957.53404034, 5258128.59757296)
2823	2020-09-25	0	c(-393434.383299829, -405516.574420973, 5221280.18971744, 5234957.53404034)
2823	2020-09-25	0	c(-377877.104707709, -393434.383299829, 5230810.1211906, 5221280.18971744)
2886	2020-09-25	18244.136347767544	c(-365738.35207125, -377877.104707709, 5217197.58008347, 5230810.1211906)
2917	2020-09-25	0	c(-369093.924561544, -365738.35207125, 5194019.21781408, 5217197.58008347)
2917	2020-09-25	0	c(-356836.116387894, -369093.924561544, 5180435.75586027, 5194019.21781408)
2917	2020-09-25	0	c(-341285.489536159, -356836.116387894, 5190066.31372414, 5180435.75586027)
2981	2020-09-25	18291.24490709215	c(-328971.834194328, -341285.489536159, 5176547.74845075, 5190066.31372414)
3013	2020-09-25	0	c(-332146.483758432, -328971.834194328, 5153363.2722398, 5176547.74845075)
3013	2020-09-25	0	c(-319715.11280249, -332146.483758432, 5139874.3988548, 5153363.2722398)
3013	2020-09-25	0	c(-304171.204265343, -319715.11280249, 5149605.13213603, 5139874.3988548)
3078	2020-09-25	0	c(-291684.678127934, -304171.204265343, 5136181.22392701, 5149605.13213603)
3078	2020-09-25	0	c(-276194.274624667, -291684.678127934, 5145978.17159733, 5136181.22392701)
3143	2020-09-25	0	c(-263652.754261031, -276194.274624667, 5132619.12932993, 5145978.17159733)
3143	2020-09-25	0	c(-248215.789293455, -263652.754261031, 5142482.11800705, 5132619.12932993)
3206	2020-09-25	0	c(-235619.429639283, -248215.789293455, 5129187.84560266, 5142482.11800705)
3206	2020-09-25	0	c(-220235.838727271, -235619.429639283, 5139116.70837545, 5129187.84560266)
3268	2020-09-25	18309.483480126633	c(-207584.788775175, -220235.838727271, 5125887.11297857, 5139116.70837545)
3298	2020-09-25	0	c(-210256.7083478, -207584.788775175, 5102694.52740341, 5125887.11297857)
3298	2020-09-25	0	c(-197490.778080074, -210256.7083478, 5089495.59743136, 5102694.52740341)
3298	2020-09-25	0	c(-182113.320224417, -197490.778080074, 5099523.19028277, 5089495.59743136)
3360	2020-09-25	0	c(-169293.327715992, -182113.320224417, 5086388.97386369, 5099523.19028277)
3360	2020-09-25	0	c(-153968.969370481, -169293.327715992, 5096481.97274198, 5086388.97386369)
3423	2020-09-25	0	c(-141095.044240893, -153968.969370481, 5083412.37808731, 5096481.97274198)
3477	2020-09-25	0	c(-192344.526111587, -190255.588895727, 4397333.67740935, 4420553.48316153)
3477	2020-09-25	0	c(-177771.282456102, -192344.526111587, 4384340.89187351, 4397333.67740935)
3510	2020-09-25	0	c(-179799.022100281, -177771.282456102, 4361121.83783081, 4384340.89187351)
3477	2020-09-25	0	c(-190255.588895727, -173688.91988374, 4420553.48316153, 4430776.7778702)
3423	2020-09-25	0	c(-125823.721387359, -141095.044240893, 5093570.64132417, 5083412.37808731)
3487	2020-09-25	0	c(-112895.987520821, -125823.721387359, 5080565.58019865, 5093570.64132417)
3520	2020-09-25	0	c(-115180.329335614, -112895.987520821, 5057368.95349208, 5080565.58019865)
3510	2020-09-25	0	c(-165125.513001857, -179799.022100281, 4348164.33874596, 4361121.83783081)
3543	2020-09-25	0	c(-167092.657081089, -165125.513001857, 4324946.21579625, 4348164.33874596)
3552	2020-09-25	0	c(-110968.884748214, -108773.688421255, 4951599.57844066, 4974799.50257234)
3520	2020-09-25	0	c(-102139.952730243, -115180.329335614, 5044395.21389432, 5057368.95349208)
3553	2020-09-25	0	c(-104359.192632317, -102139.952730243, 5021197.32014032, 5044395.21389432)
3543	2020-09-25	0	c(-152319.773352868, -167092.657081089, 4312024.08888059, 4324946.21579625)
3477	2020-09-25	0	c(-173688.91988374, -159171.345118681, 4430776.7778702, 4417814.7017716)
3552	2020-09-25	0	c(-97647.4095172182, -110968.884748214, 4938656.55219758, 4951599.57844066)
3585	2020-09-25	0	c(-99778.4519382743, -97647.4095172182, 4915455.79820118, 4938656.55219758)
3552	2020-09-25	0	c(-108773.688421255, -93361.645909592, 4974799.50257234, 4985056.24313315)
3553	2020-09-25	0	c(-91206.9824705342, -104359.192632317, 5008255.18026804, 5021197.32014032)
3586	2020-09-25	0	c(-93361.645909592, -91206.9824705342, 4985056.24313315, 5008255.18026804)
3477	2020-09-25	0	c(-159171.345118681, -161164.83012867, 4417814.7017716, 4394598.58255177)
3510	2020-09-25	0	c(-161164.83012867, -146546.562444213, 4394598.58255177, 4381671.5745309)
3577	2020-09-25	0	c(-146546.562444213, -129990.075937585, 4381671.5745309, 4391991.25778133)
3617	2020-09-25	0	c(-94570.0226988256, -92526.0349327249, 4809736.35464616, 4832939.335829)
3585	2020-09-25	0	c(-86347.1352648903, -99778.4519382743, 4902545.06287759, 4915455.79820118)
3543	2020-09-25	0	c(-135634.610515677, -152319.773352868, 4322350.31626811, 4312024.08888059)
3617	2020-09-25	0	c(-80864.3681660022, -94570.0226988256, 4796858.70181479, 4809736.35464616)
3617	2020-09-25	0	c(-92526.0349327249, -76878.588753423, 4832939.335829, 4843263.68384102)
3652	2020-09-25	0	c(-76878.588753423, -74874.2292016803, 4843263.68384102, 4866465.47262191)
